i;r;value
arg;afr;0.04126178390137781
arg;asia;0.03964013086150491
arg;cis;0.0
arg;eur;0.06201816001370567
arg;noa;0.019484702093397744
arg;oce;0.01904761904761905
arg;row;0.08069053708439898
arg;rus;0.0
arg;soa;0.022458100558659218
eng;afr;0.019770491803278688
eng;asia;0.01947780678851175
eng;cis;0.0
eng;eur;0.01206313416009019
eng;noa;0.001306578947368421
eng;oce;0.03593406593406593
eng;row;0.0019761092150170647
eng;rus;0.0
eng;soa;0.003236714975845411
its;afr;0.0
its;asia;0.0
its;cis;0.0
its;eur;0.0
its;noa;0.0
its;oce;0.0
its;row;0.0
its;rus;0.0
its;soa;0.0
man;afr;0.04746376811594203
man;asia;0.07534285283701303
man;cis;7.772649987855234e-06
man;eur;0.07441800477203843
man;noa;0.08457955381220887
man;oce;0.07172717271727173
man;row;0.04946510443199185
man;rus;0.0
man;soa;0.14450217666058138
